2020-04-10 12:03:07.663[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e3181aa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@253d9f73, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@142269f2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@331acdad, org.springframework.test.context.transaction.TransactionalTestExecutionListener@41d426b5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@8dbfffb, org.springframework.test.context.event.EventPublishingTestExecutionListener@f316aeb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6aa3a905, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@a22cb6a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5dd1c9f2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@59b38691, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2e2ff723]
2020-04-10 12:03:07.945[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Starting UserMapperTest on DESKTOP-7FGB2I0 with PID 21020 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 12:03:07.946[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 12:03:08.522[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 12:03:08.808[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 12:03:08.989[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 12:03:09.247[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Started UserMapperTest in 1.545 seconds (JVM running for 2.628)
2020-04-10 12:03:09.563[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 12:03:09.579[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-10 13:08:49.988[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.UserMapperTest], using SpringBootContextLoader
2020-04-10 13:08:50.028[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.UserMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 13:08:50.030[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-10 13:08:50.389[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.generator.demo.MybatisGeneratorDemoApplication for test class com.mybatis.generator.demo.mapper.UserMapperTest
2020-04-10 13:08:50.552[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-10 13:08:50.614[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c1156a7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@33fe57a9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4982cc36, org.springframework.test.context.support.DirtiesContextTestExecutionListener@691939c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4f1bfe23, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e19bb76, org.springframework.test.context.event.EventPublishingTestExecutionListener@512535ff, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@71529963, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@61a88b8c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@22295ec4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5adb0db3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3f270e0a]
2020-04-10 13:08:51.164[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Starting UserMapperTest on DESKTOP-7FGB2I0 with PID 18596 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 13:08:51.165[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 13:08:51.789[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 13:08:52.113[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 13:08:52.329[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 13:08:52.764[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Started UserMapperTest in 1.999 seconds (JVM running for 4.522)
2020-04-10 13:08:53.309[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 13:08:53.333[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-10 14:33:39.750[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.UserMapperTest], using SpringBootContextLoader
2020-04-10 14:33:39.776[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.UserMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 14:33:39.777[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-10 14:33:40.113[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.generator.demo.MybatisGeneratorDemoApplication for test class com.mybatis.generator.demo.mapper.UserMapperTest
